aar,database_id,indikator_id,hospital_id,hospital_navn,region,enhed,retning,metodebrud_flag,antal_forloeb_hospital,vaerdi_hospital,ci_nedre_hospital,ci_oevre_hospital,vaerdi_baseline_hospital,forbedring_siden_baseline_hospital,rang_hospital
2015,akut,behandlingskvalitet,h_01,Aalborg Universitetshospital,Nordjylland,index_0_100,hoejere_bedre,False,852,72.067,71.682,72.45,73.833,-1.766,12
2015,akut,behandlingskvalitet,h_02,RH Hjørring,Nordjylland,index_0_100,hoejere_bedre,False,774,69.845,69.445,70.244,73.662,-3.817,14
2015,akut,behandlingskvalitet,h_03,RH Frederikshavn,Nordjylland,index_0_100,hoejere_bedre,False,1751,72.313,72.043,72.583,75.712,-3.399,11
2015,akut,behandlingskvalitet,h_04,AUH,Midtjylland,index_0_100,hoejere_bedre,False,1168,76.562,76.237,76.887,78.327,-1.765,4
2015,akut,behandlingskvalitet,h_05,RH Gødstrup,Midtjylland,index_0_100,hoejere_bedre,False,302,72.945,72.307,73.581,72.02,0.925,9
2015,akut,behandlingskvalitet,h_06,RH Horsens,Midtjylland,index_0_100,hoejere_bedre,False,540,74.375,73.89,74.86,73.089,1.286,7
2015,akut,behandlingskvalitet,h_07,HE Midt,Midtjylland,index_0_100,hoejere_bedre,False,817,80.066,79.67,80.461,74.653,5.413,1
2015,akut,behandlingskvalitet,h_08,OUH,Syddanmark,index_0_100,hoejere_bedre,False,2285,69.55,69.314,69.787,71.032,-1.482,15
2015,akut,behandlingskvalitet,h_09,Esbjerg Sygehus,Syddanmark,index_0_100,hoejere_bedre,False,1223,69.312,68.988,69.635,69.573,-0.261,16
2015,akut,behandlingskvalitet,h_10,Sygehus Sønderjylland,Syddanmark,index_0_100,hoejere_bedre,False,1178,73.695,73.37,74.019,71.746,1.949,8
2015,akut,behandlingskvalitet,h_11,Sygehus Lillebælt,Syddanmark,index_0_100,hoejere_bedre,False,715,76.942,76.521,77.364,78.355,-1.413,3
2015,akut,behandlingskvalitet,h_12,Holbæk Sygehus,Sjælland,index_0_100,hoejere_bedre,False,766,75.265,74.857,75.672,74.296,0.969,5
2015,akut,behandlingskvalitet,h_13,Næstved Sygehus,Sjælland,index_0_100,hoejere_bedre,False,646,72.37,71.932,72.81,69.096,3.274,10
2015,akut,behandlingskvalitet,h_14,SU Roskilde,Sjælland,index_0_100,hoejere_bedre,False,694,66.607,66.188,67.025,69.952,-3.345,17
2015,akut,behandlingskvalitet,h_15,Rigshospitalet,Hovedstaden,index_0_100,hoejere_bedre,False,90,70.929,70.085,71.772,72.178,-1.249,13
2015,akut,behandlingskvalitet,h_16,Herlev Hospital,Hovedstaden,index_0_100,hoejere_bedre,False,1246,66.463,66.143,66.784,73.125,-6.662,18
2015,akut,behandlingskvalitet,h_17,Bispebjerg Hospital,Hovedstaden,index_0_100,hoejere_bedre,False,1749,74.553,74.283,74.823,72.233,2.32,6
2015,akut,behandlingskvalitet,h_18,Hvidovre Hospital,Hovedstaden,index_0_100,hoejere_bedre,False,726,77.099,76.742,77.456,77.175,-0.076,2
2015,akut,genindlaeggelse,h_01,Aalborg Universitetshospital,Nordjylland,pct,lavere_bedre,False,852,9.406,9.022,9.79,9.708,0.302,4
2015,akut,genindlaeggelse,h_02,RH Hjørring,Nordjylland,pct,lavere_bedre,False,774,11.974,11.575,12.374,10.461,-1.513,12
2015,akut,genindlaeggelse,h_03,RH Frederikshavn,Nordjylland,pct,lavere_bedre,False,1751,10.474,10.204,10.744,10.976,0.502,9
2015,akut,genindlaeggelse,h_04,AUH,Midtjylland,pct,lavere_bedre,False,1168,9.383,9.059,9.708,9.689,0.306,3
2015,akut,genindlaeggelse,h_05,RH Gødstrup,Midtjylland,pct,lavere_bedre,False,302,11.982,11.345,12.619,11.446,-0.536,13
2015,akut,genindlaeggelse,h_06,RH Horsens,Midtjylland,pct,lavere_bedre,False,540,10.804,10.318,11.29,10.571,-0.233,10
2015,akut,genindlaeggelse,h_07,HE Midt,Midtjylland,pct,lavere_bedre,False,817,10.2,9.804,10.595,10.311,0.111,7
2015,akut,genindlaeggelse,h_08,OUH,Syddanmark,pct,lavere_bedre,False,2285,13.266,13.029,13.503,12.416,-0.85,17
2015,akut,genindlaeggelse,h_09,Esbjerg Sygehus,Syddanmark,pct,lavere_bedre,False,1223,12.051,11.728,12.374,11.354,-0.697,14
2015,akut,genindlaeggelse,h_10,Sygehus Sønderjylland,Syddanmark,pct,lavere_bedre,False,1178,11.642,11.318,11.967,11.45,-0.192,11
2015,akut,genindlaeggelse,h_11,Sygehus Lillebælt,Syddanmark,pct,lavere_bedre,False,715,9.148,8.727,9.57,9.961,0.813,2
2015,akut,genindlaeggelse,h_12,Holbæk Sygehus,Sjælland,pct,lavere_bedre,False,766,9.847,9.439,10.255,11.117,1.27,5
2015,akut,genindlaeggelse,h_13,Næstved Sygehus,Sjælland,pct,lavere_bedre,False,646,12.184,11.745,12.623,10.806,-1.378,15
2015,akut,genindlaeggelse,h_14,SU Roskilde,Sjælland,pct,lavere_bedre,False,694,13.535,13.116,13.954,12.737,-0.798,18
2015,akut,genindlaeggelse,h_15,Rigshospitalet,Hovedstaden,pct,lavere_bedre,False,694,9.958,9.565,10.351,11.004,1.046,6
2015,akut,genindlaeggelse,h_16,Herlev Hospital,Hovedstaden,pct,lavere_bedre,False,1246,13.084,12.764,13.405,11.248,-1.836,16
2015,akut,genindlaeggelse,h_17,Bispebjerg Hospital,Hovedstaden,pct,lavere_bedre,False,1749,10.368,10.099,10.639,10.008,-0.36,8
2015,akut,genindlaeggelse,h_18,Hvidovre Hospital,Hovedstaden,pct,lavere_bedre,False,726,8.674,8.317,9.031,10.013,1.339,1
2015,akut,mort_30d,h_01,Aalborg Universitetshospital,Nordjylland,pct,lavere_bedre,False,852,6.591,6.207,6.975,6.901,0.31,10
2015,akut,mort_30d,h_02,RH Hjørring,Nordjylland,pct,lavere_bedre,False,532,6.6,6.253,6.946,6.261,-0.339,11
2015,akut,mort_30d,h_03,RH Frederikshavn,Nordjylland,pct,lavere_bedre,False,1751,6.661,6.391,6.931,6.799,0.138,12
2015,akut,mort_30d,h_04,AUH,Midtjylland,pct,lavere_bedre,False,1168,5.923,5.598,6.248,5.083,-0.84,4
2015,akut,mort_30d,h_05,RH Gødstrup,Midtjylland,pct,lavere_bedre,False,302,7.202,6.564,7.838,6.588,-0.614,16
2015,akut,mort_30d,h_06,RH Horsens,Midtjylland,pct,lavere_bedre,False,540,6.384,5.898,6.869,6.927,0.543,8
2015,akut,mort_30d,h_07,HE Midt,Midtjylland,pct,lavere_bedre,False,817,5.722,5.326,6.116,6.014,0.292,2
2015,akut,mort_30d,h_08,OUH,Syddanmark,pct,lavere_bedre,False,2285,7.065,6.829,7.303,7.48,0.415,15
2015,akut,mort_30d,h_09,Esbjerg Sygehus,Syddanmark,pct,lavere_bedre,False,1223,6.831,6.508,7.154,6.95,0.119,14
2015,akut,mort_30d,h_10,Sygehus Sønderjylland,Syddanmark,pct,lavere_bedre,False,1178,6.275,5.951,6.6,7.366,1.091,7
2015,akut,mort_30d,h_11,Sygehus Lillebælt,Syddanmark,pct,lavere_bedre,False,715,5.389,4.968,5.811,5.517,0.128,1
2015,akut,mort_30d,h_12,Holbæk Sygehus,Sjælland,pct,lavere_bedre,False,766,6.17,5.762,6.577,6.246,0.076,6
2015,akut,mort_30d,h_13,Næstved Sygehus,Sjælland,pct,lavere_bedre,False,646,6.702,6.263,7.141,7.564,0.862,13
2015,akut,mort_30d,h_14,SU Roskilde,Sjælland,pct,lavere_bedre,False,694,7.534,7.115,7.953,7.453,-0.081,17
2015,akut,mort_30d,h_15,Rigshospitalet,Hovedstaden,pct,lavere_bedre,False,604,6.467,6.141,6.792,6.03,-0.437,9
2015,akut,mort_30d,h_16,Herlev Hospital,Hovedstaden,pct,lavere_bedre,False,1246,7.692,7.371,8.012,6.39,-1.302,18
2015,akut,mort_30d,h_17,Bispebjerg Hospital,Hovedstaden,pct,lavere_bedre,False,1749,5.963,5.693,6.233,6.209,0.246,5
2015,akut,mort_30d,h_18,Hvidovre Hospital,Hovedstaden,pct,lavere_bedre,False,726,5.889,5.532,6.246,5.258,-0.631,3
2015,akut,overlevelse_1aar,h_01,Aalborg Universitetshospital,Nordjylland,pct,hoejere_bedre,False,852,85.85,85.466,86.234,87.25,-1.4,9
2015,akut,overlevelse_1aar,h_02,RH Hjørring,Nordjylland,pct,hoejere_bedre,False,774,84.089,83.689,84.488,86.517,-2.428,16
