aar,database_id,indikator_id,hospital_id,hospital_navn,region,enhed,retning,metodebrud_flag,antal_forloeb_hospital,vaerdi_hospital,ci_nedre_hospital,ci_oevre_hospital,vaerdi_baseline_hospital,forbedring_siden_baseline_hospital,rang_hospital
2024,akut,behandlingskvalitet,h_01,Aalborg Universitetshospital,Nordjylland,index_0_100,hoejere_bedre,False,922,78.696,78.329,79.063,73.833,4.863,8
2024,akut,behandlingskvalitet,h_02,RH Hjørring,Nordjylland,index_0_100,hoejere_bedre,False,832,91.394,91.003,91.786,73.662,17.732,1
2024,akut,behandlingskvalitet,h_03,RH Frederikshavn,Nordjylland,index_0_100,hoejere_bedre,False,2164,76.779,76.536,77.021,75.712,1.067,11
2024,akut,behandlingskvalitet,h_04,AUH,Midtjylland,index_0_100,hoejere_bedre,False,303,90.519,90.059,90.979,78.327,12.192,2
2024,akut,behandlingskvalitet,h_05,RH Gødstrup,Midtjylland,index_0_100,hoejere_bedre,False,464,81.358,80.833,81.883,72.02,9.338,5
2024,akut,behandlingskvalitet,h_06,RH Horsens,Midtjylland,index_0_100,hoejere_bedre,False,597,75.408,74.944,75.87,73.089,2.319,12
2024,akut,behandlingskvalitet,h_07,HE Midt,Midtjylland,index_0_100,hoejere_bedre,False,921,63.7,63.328,64.073,74.653,-10.953,18
2024,akut,behandlingskvalitet,h_08,OUH,Syddanmark,index_0_100,hoejere_bedre,False,2534,65.506,65.281,65.73,71.032,-5.526,16
2024,akut,behandlingskvalitet,h_09,Esbjerg Sygehus,Syddanmark,index_0_100,hoejere_bedre,False,1606,78.278,77.997,78.56,69.573,8.705,9
2024,akut,behandlingskvalitet,h_10,Sygehus Sønderjylland,Syddanmark,index_0_100,hoejere_bedre,False,1160,64.182,63.86,64.503,71.746,-7.564,17
2024,akut,behandlingskvalitet,h_11,Sygehus Lillebælt,Syddanmark,index_0_100,hoejere_bedre,False,1026,81.528,81.176,81.879,78.355,3.173,4
2024,akut,behandlingskvalitet,h_12,Holbæk Sygehus,Sjælland,index_0_100,hoejere_bedre,False,1073,66.685,66.341,67.028,74.296,-7.611,15
2024,akut,behandlingskvalitet,h_13,Næstved Sygehus,Sjælland,index_0_100,hoejere_bedre,False,787,78.903,78.502,79.304,69.096,9.807,7
2024,akut,behandlingskvalitet,h_14,SU Roskilde,Sjælland,index_0_100,hoejere_bedre,False,911,77.344,76.978,77.712,69.952,7.392,10
2024,akut,behandlingskvalitet,h_15,Rigshospitalet,Hovedstaden,index_0_100,hoejere_bedre,False,747,78.914,78.53,79.299,72.178,6.736,6
2024,akut,behandlingskvalitet,h_16,Herlev Hospital,Hovedstaden,index_0_100,hoejere_bedre,False,1627,89.499,89.218,89.779,73.125,16.374,3
2024,akut,behandlingskvalitet,h_17,Bispebjerg Hospital,Hovedstaden,index_0_100,hoejere_bedre,False,2018,67.421,67.17,67.673,72.233,-4.812,14
2024,akut,behandlingskvalitet,h_18,Hvidovre Hospital,Hovedstaden,index_0_100,hoejere_bedre,False,973,68.26,67.95,68.571,77.175,-8.915,13
2024,akut,genindlaeggelse,h_01,Aalborg Universitetshospital,Nordjylland,pct,lavere_bedre,False,922,8.816,8.448,9.182,9.708,0.892,8
2024,akut,genindlaeggelse,h_02,RH Hjørring,Nordjylland,pct,lavere_bedre,False,832,6.071,5.68,6.462,10.461,4.39,3
2024,akut,genindlaeggelse,h_03,RH Frederikshavn,Nordjylland,pct,lavere_bedre,False,2164,10.497,10.255,10.741,10.976,0.479,12
2024,akut,genindlaeggelse,h_04,AUH,Midtjylland,pct,lavere_bedre,False,1198,5.315,4.999,5.631,9.689,4.374,2
2024,akut,genindlaeggelse,h_05,RH Gødstrup,Midtjylland,pct,lavere_bedre,False,464,8.127,7.602,8.653,11.446,3.319,5
2024,akut,genindlaeggelse,h_06,RH Horsens,Midtjylland,pct,lavere_bedre,False,597,10.062,9.599,10.525,10.571,0.509,11
2024,akut,genindlaeggelse,h_07,HE Midt,Midtjylland,pct,lavere_bedre,False,921,13.876,13.504,14.248,10.311,-3.565,17
2024,akut,genindlaeggelse,h_08,OUH,Syddanmark,pct,lavere_bedre,False,2534,13.7,13.475,13.925,12.416,-1.284,15
2024,akut,genindlaeggelse,h_09,Esbjerg Sygehus,Syddanmark,pct,lavere_bedre,False,1606,8.417,8.135,8.698,11.354,2.937,6
2024,akut,genindlaeggelse,h_10,Sygehus Sønderjylland,Syddanmark,pct,lavere_bedre,False,1160,13.933,13.61,14.255,11.45,-2.483,18
2024,akut,genindlaeggelse,h_11,Sygehus Lillebælt,Syddanmark,pct,lavere_bedre,False,1026,7.331,6.98,7.682,9.961,2.63,4
2024,akut,genindlaeggelse,h_12,Holbæk Sygehus,Sjælland,pct,lavere_bedre,False,1073,13.286,12.942,13.629,11.117,-2.169,14
