database_id,indikator_id,hospital_id,afdeling_id,aar,vaerdi,enhed,retning,metodebrud_flag,antal_forloeb,ci_nedre,ci_oevre,vaerdi_baseline,forbedring_siden_baseline,rang_afdeling
dansk_hjerteinfarkt,registreringsfuldkommenhed,h_01,h_01_med,2015,94.206,pct,hoejere_bedre,False,233,93.681,94.73,93.864,0.342,15
dansk_hjerteinfarkt,registreringsfuldkommenhed,h_01,h_01_med,2016,93.141,pct,hoejere_bedre,False,161,92.51,93.771,93.864,-0.723,22
dansk_hjerteinfarkt,registreringsfuldkommenhed,h_01,h_01_med,2017,95.345,pct,hoejere_bedre,False,211,94.794,95.896,93.864,1.481,4
dansk_hjerteinfarkt,registreringsfuldkommenhed,h_01,h_01_med,2018,93.864,pct,hoejere_bedre,False,196,93.293,94.436,93.864,0.0,18
dansk_hjerteinfarkt,registreringsfuldkommenhed,h_01,h_01_med,2019,94.665,pct,hoejere_bedre,False,239,94.147,95.182,93.864,0.801,12
dansk_hjerteinfarkt,registreringsfuldkommenhed,h_01,h_01_med,2020,95.603,pct,hoejere_bedre,True,167,94.984,96.223,93.864,1.739,10
dansk_hjerteinfarkt,registreringsfuldkommenhed,h_01,h_01_med,2021,96.173,pct,hoejere_bedre,False,188,95.59,96.757,93.864,2.309,8
dansk_hjerteinfarkt,registreringsfuldkommenhed,h_01,h_01_med,2022,96.09,pct,hoejere_bedre,False,189,95.508,96.672,93.864,2.226,10
dansk_hjerteinfarkt,registreringsfuldkommenhed,h_01,h_01_med,2023,95.504,pct,hoejere_bedre,False,144,94.837,96.17,93.864,1.64,18
dansk_hjerteinfarkt,registreringsfuldkommenhed,h_01,h_01_med,2024,98.498,pct,hoejere_bedre,False,227,97.967,99.029,93.864,4.634,5
dansk_hjerteinfarkt,overlevelse_1aar,h_01,h_01_med,2015,86.703,pct,hoejere_bedre,False,233,86.179,87.227,86.834,-0.131,11
dansk_hjerteinfarkt,overlevelse_1aar,h_01,h_01_med,2016,86.335,pct,hoejere_bedre,False,161,85.705,86.966,86.834,-0.499,14
dansk_hjerteinfarkt,overlevelse_1aar,h_01,h_01_med,2017,87.362,pct,hoejere_bedre,False,211,86.812,87.913,86.834,0.528,7
dansk_hjerteinfarkt,overlevelse_1aar,h_01,h_01_med,2018,86.834,pct,hoejere_bedre,False,196,86.263,87.406,86.834,0.0,10
dansk_hjerteinfarkt,overlevelse_1aar,h_01,h_01_med,2019,87.172,pct,hoejere_bedre,False,239,86.655,87.69,86.834,0.338,11
